Test,Threads,Time,Count,Verified
86,2,0.004081,166742,166742
87,2,0.003761,166742,166742
88,2,0.003879,166742,166742
89,2,0.004077,166742,166742
90,2,0.003808,166742,166742
91,2,0.004305,166742,166742
92,2,0.004311,166742,166742
93,2,0.003748,166742,166742
94,2,0.004615,166742,166742
95,2,0.003796,166742,166742
96,2,0.004124,166742,166742
97,2,0.003734,166742,166742
98,2,0.004473,166742,166742
99,2,0.003926,166742,166742
100,2,0.003815,166742,166742
1,4,0.005806,166742,166742
2,4,0.005569,166742,166742
3,4,0.005471,166742,166742
4,4,0.005874,166742,166742
5,4,0.005589,166742,166742
6,4,0.005789,166742,166742
7,4,0.005678,166742,166742
8,4,0.005772,166742,166742
9,4,0.005742,166742,166742
10,4,0.005343,166742,166742
11,4,0.005141,166742,166742
12,4,0.005785,166742,166742
13,4,0.005154,166742,166742
14,4,0.005695,166742,166742
15,4,0.005764,166742,166742
16,4,0.005455,166742,166742
17,4,0.005779,166742,166742
18,4,0.005216,166742,166742
19,4,0.005771,166742,166742
20,4,0.005787,166742,166742
21,4,0.005463,166742,166742
22,4,0.005777,166742,166742
23,4,0.005784,166742,166742
24,4,0.005498,166742,166742
25,4,0.005776,166742,166742
26,4,0.005775,166742,166742
27,4,0.005776,166742,166742
28,4,0.005813,166742,166742
29,4,0.005767,166742,166742
30,4,0.005915,166742,166742
31,4,0.005784,166742,166742
32,4,0.005775,166742,166742
33,4,0.005761,166742,166742
34,4,0.005777,166742,166742
35,4,0.005792,166742,166742
36,4,0.005757,166742,166742
37,4,0.005755,166742,166742
38,4,0.005407,166742,166742
39,4,0.005773,166742,166742
40,4,0.005760,166742,166742
41,4,0.005711,166742,166742
42,4,0.005747,166742,166742
43,4,0.005763,166742,166742
44,4,0.005739,166742,166742
45,4,0.005754,166742,166742
46,4,0.005752,166742,166742
47,4,0.005813,166742,166742
48,4,0.005751,166742,166742
49,4,0.005755,166742,166742
50,4,0.005735,166742,166742
51,4,0.005759,166742,166742
52,4,0.005750,166742,166742
53,4,0.005765,166742,166742
54,4,0.005755,166742,166742
55,4,0.005733,166742,166742
56,4,0.005772,166742,166742
57,4,0.005754,166742,166742
58,4,0.005741,166742,166742
59,4,0.005769,166742,166742
60,4,0.005741,166742,166742
61,4,0.005760,166742,166742
62,4,0.005770,166742,166742
63,4,0.005728,165947,165947
64,4,0.005771,165947,165947
65,4,0.005773,165947,165947
66,4,0.005751,165947,165947
67,4,0.005763,165947,165947
68,4,0.005795,165947,165947
69,4,0.005765,165947,165947
70,4,0.005796,165947,165947
71,4,0.005774,165947,165947
72,4,0.005791,165947,165947
73,4,0.005785,165947,165947
74,4,0.005786,165947,165947
75,4,0.005798,165947,165947
76,4,0.005771,165947,165947
77,4,0.005764,165947,165947
78,4,0.005776,165947,165947
79,4,0.005726,165947,165947
80,4,0.005803,165947,165947
81,4,0.005781,165947,165947
82,4,0.005821,165947,165947
83,4,0.005787,165947,165947
84,4,0.005764,165947,165947
85,4,0.005756,165947,165947
86,4,0.005719,165947,165947
87,4,0.005778,165947,165947
88,4,0.005781,165947,165947
89,4,0.005780,165947,165947
90,4,0.005791,165947,165947
91,4,0.005765,165947,165947
92,4,0.005798,165947,165947
93,4,0.005768,165947,165947
94,4,0.005763,165947,165947
95,4,0.005794,165947,165947
96,4,0.005795,165947,165947
97,4,0.005817,165947,165947
98,4,0.005744,165947,165947
99,4,0.005822,165947,165947
100,4,0.005797,165947,165947
1,8,0.006031,165947,165947
2,8,0.005948,165947,165947
3,8,0.006002,165947,165947
4,8,0.006088,165947,165947
5,8,0.006003,165947,165947
